date,open,high,low,close,adj close,volume
21-Aug-17,27100.63,27221.31,27086.43,27154.68,27154.68,1770623000
18-Aug-17,26999.6,27236.32,26951.92,27047.57,27047.57,1691600400
17-Aug-17,27610.29,27624.52,27302.48,27344.22,27344.22,1795330700
16-Aug-17,27238.81,27422.3,27238.81,27409.07,27409.07,1771056700
15-Aug-17,27371.25,27438.42,27174.96,27174.96,27174.96,2735953400
14-Aug-17,27091.77,27268.23,27032.4,27250.23,27250.23,1416372000
11-Aug-17,27000.43,27184.21,26863.71,26883.51,26883.51,3133494700
10-Aug-17,27791.36,27791.36,27267.03,27444,27444,2175962000
9-Aug-17,27760.08,27876.12,27602.66,27757.09,27757.09,1650670500
8-Aug-17,27684.6,27867.56,27626.19,27854.91,27854.91,1726572600
7-Aug-17,27665.71,27731.92,27629.2,27690.36,27690.36,1484632800
4-Aug-17,27564.71,27615.03,27508.11,27562.68,27562.68,1464939100
3-Aug-17,27533.51,27601.05,27399.58,27531.01,27531.01,1682624400
2-Aug-17,27645.28,27747.35,27570.5,27607.38,27607.38,2052633600
1-Aug-17,27326.04,27558,27326.04,27540.23,27540.23,2392422600
31-Jul-17,27048.45,27324.38,27045.41,27323.99,27323.99,1693214100
28-Jul-17,27007.97,27047.88,26928.44,26979.39,26979.39,1456040200
27-Jul-17,27002.7,27169.15,26962.03,27131.17,27131.17,1763945900
26-Jul-17,26960.81,27007.27,26786.63,26941.02,26941.02,2176480400
25-Jul-17,26847.58,26889.7,26799.77,26852.05,26852.05,1450948000
24-Jul-17,26720.04,26882,26674.5,26846.83,26846.83,1532468700
21-Jul-17,26777.44,26778.42,26663.25,26706.09,26706.09,1502400500
20-Jul-17,26770.48,26794.18,26632.98,26740.21,26740.21,1408343500
19-Jul-17,26561.81,26682.64,26541.56,26672.16,26672.16,1346812900
18-Jul-17,26489.52,26540.17,26381.14,26524.94,26524.94,1872330800
17-Jul-17,26572.92,26618.66,26353.83,26470.58,26470.58,1837446700
14-Jul-17,26416.68,26416.68,26295.99,26389.23,26389.23,1744841800
13-Jul-17,26340.29,26383.76,26255.31,26346.17,26346.17,1971724000
12-Jul-17,25991.35,26147.3,25991.35,26043.64,26043.64,2695389200
11-Jul-17,25605.19,25941.47,25596.21,25877.64,25877.64,2230926300
10-Jul-17,25392.03,25622.75,25331.95,25500.06,25500.06,1743504600
7-Jul-17,25377.21,25409.9,25315.91,25340.85,25340.85,1480481500
6-Jul-17,25574.57,25599.7,25436.83,25465.22,25465.22,1494486100
5-Jul-17,25354.38,25559.18,25199.86,25521.97,25521.97,1868195300
4-Jul-17,25782.85,25838.27,25251.72,25389.01,25389.01,2402054600
3-Jul-17,25654.77,25821.39,25654.77,25784.17,25784.17,1505017700
30-Jun-17,25679.64,25816.25,25661.43,25764.58,25764.58,1616948900
29-Jun-17,25872.93,25965.42,25814.8,25965.42,25965.42,1748405000
28-Jun-17,25735.21,25821.36,25625.71,25683.5,25683.5,1652872300
27-Jun-17,25911.2,25929.61,25780.69,25839.99,25839.99,1182985800
26-Jun-17,25727.93,25875.48,25720.38,25871.89,25871.89,1206191500
23-Jun-17,25724.28,25770.37,25648.77,25670.05,25670.05,1302570300
22-Jun-17,25597.46,25867.94,25597.46,25674.53,25674.53,1553964400
21-Jun-17,25752.27,25846.52,25575.98,25694.58,25694.58,1699891000
20-Jun-17,26028.43,26043.1,25833.93,25843.04,25843.04,1251563600
19-Jun-17,25736.2,25939.72,25735.07,25924.55,25924.55,1116125500
16-Jun-17,25601.81,25719.97,25557.8,25626.49,25626.49,1699429200
15-Jun-17,25772.28,25772.28,25565.34,25565.34,25565.34,1658076900
14-Jun-17,25915.46,25915.46,25713.02,25875.9,25875.9,1449845600
13-Jun-17,25826.52,25883.22,25722.63,25852.1,25852.1,1316444700
12-Jun-17,25925.45,25957.78,25689.23,25708.04,25708.04,1614682000
9-Jun-17,26090.33,26090.33,25922.68,26030.29,26030.29,2889395400
8-Jun-17,25974,26069.98,25923.21,26063.06,26063.06,1633520700
7-Jun-17,26025.21,26073.44,25898.82,25974.16,25974.16,1999503900
6-Jun-17,25819.53,26019.01,25805.02,25997.14,25997.14,1540428000
5-Jun-17,25976.36,25998.66,25801.84,25862.99,25862.99,1766176100
2-Jun-17,25926.06,25973,25851.85,25924.05,25924.05,1990193800
1-Jun-17,25736.35,25834.75,25614.61,25809.22,25809.22,2017055200
31-May-17,25706.45,25817.95,25650.06,25660.65,25660.65,2997857600
29-May-17,25672.4,25744.72,25579.15,25701.63,25701.63,1077784400
26-May-17,25670.98,25724.4,25588.7,25639.27,25639.27,1453713000
25-May-17,25511.46,25680.67,25491.78,25630.78,25630.78,1890794600
24-May-17,25382.26,25428.5,25296.66,25428.5,25428.5,1409941800
23-May-17,25415.57,25486.98,25307.27,25403.15,25403.15,1758690200
22-May-17,25318.29,25450.04,25201.34,25391.34,25391.34,1410586000
19-May-17,25171.66,25266.22,25124.06,25174.87,25174.87,1312777700
18-May-17,25034.19,25263.81,25025.05,25136.52,25136.52,1677298400
17-May-17,25355.76,25374.95,25245.44,25293.63,25293.63,1512406100
16-May-17,25413.35,25413.35,25228.46,25335.94,25335.94,1797601700
15-May-17,25233.31,25385.72,25213.47,25371.59,25371.59,2212734400
12-May-17,25126.48,25211.28,25087.32,25156.34,25156.34,1417408900
11-May-17,25101.53,25203.54,25024.76,25125.55,25125.55,1642633800
10-May-17,24931.82,25164.97,24931.82,25015.42,25015.42,2297649800
9-May-17,24656.95,24889.83,24548.97,24889.03,24889.03,1381056000
8-May-17,24604.29,24624.21,24476.2,24577.91,24577.91,1357855500
5-May-17,24625.35,24634.28,24358.72,24476.35,24476.35,2024201800
4-May-17,24680.45,24683.88,24530.93,24683.88,24683.88,1760179900
2-May-17,24773.8,24773.8,24577.33,24696.13,24696.13,1605780100
28-Apr-17,24691.29,24697.03,24563.77,24615.13,24615.13,1181584600
27-Apr-17,24663.1,24717.44,24455.12,24698.48,24698.48,1567031000
26-Apr-17,24563.25,24637.85,24515.23,24578.43,24578.43,1668740700
25-Apr-17,24204.78,24455.94,24201.91,24455.94,24455.94,1880693800
24-Apr-17,24185.76,24206.44,23958.18,24139.48,24139.48,1338069100
21-Apr-17,24143.04,24190.14,23991.87,24042.02,24042.02,1345955400
20-Apr-17,23851.02,24058.87,23827.07,24056.98,24056.98,1512891800
19-Apr-17,23875.98,23893.14,23723.87,23825.88,23825.88,1568253100
18-Apr-17,24268.17,24276.31,23892.59,23924.54,23924.54,1552809600
13-Apr-17,24173.42,24378.38,24158.16,24261.66,24261.66,1334077800
12-Apr-17,24068.91,24313.5,23994.13,24313.5,24313.5,1534864800
11-Apr-17,24280.87,24318.15,24007.85,24088.46,24088.46,1803272800
10-Apr-17,24302.01,24314.66,24215.54,24262.18,24262.18,1193963800
7-Apr-17,24247.01,24268.39,23982.4,24267.3,24267.3,2253021500
6-Apr-17,24310.41,24381.63,24210.69,24273.72,24273.72,1722179300
5-Apr-17,24370.95,24400.8,24166.01,24400.8,24400.8,2697900400
3-Apr-17,24236.56,24261.48,24162.55,24261.48,24261.48,1708951000
31-Mar-17,24305.53,24329.98,24105.38,24111.59,24111.59,1733165500
30-Mar-17,24429.12,24431.12,24250.4,24301.09,24301.09,1768917100
